return,duration,dollar_pnl
5.507299270072993,1409,3018.0
7.681818181818182,253,2028.0
-0.8999999999999649,43,-298.79999999998836
-0.9000000000000693,32,-151.20000000001164
-0.9,4,-216.0
-0.8999999999997761,24,-93.59999999997672
-0.900000000000091,1,-230.40000000002328
0.5242718446601942,247,432.0
-0.9000000000000844,2,-248.40000000002328
5.198863636363637,257,1830.0
-0.8999999999999627,19,-561.5999999999767
-0.90000000000003,5,-349.20000000001164
-0.9000000000000249,8,-421.20000000001164
-0.9000000000014552,1,-7.2000000000116415
-0.9,1,-18.0
2.9423076923076925,2523,1530.0
-0.9,4,-306.0
-0.9000000000000378,236,-554.4000000000233
-0.9000000000000404,42,-518.4000000000233
3.6186440677966103,993,854.0
9.205479452054794,1071,2688.0
-0.8999999999999045,2,-219.59999999997672
-0.8999999999999424,10,-363.5999999999767
-0.9000000000000165,3,-637.2000000000116
-0.899999999999992,1216,-1306.7999999999884
-0.9000000000000786,1,-133.20000000001164
-0.9000000000001712,1,-122.40000000002328
-0.8999999999997228,1,-75.59999999997672
-0.9000000000001712,1,-61.20000000001164
-0.9,2,-90.0
-0.8999999999999638,3,-579.5999999999767
-0.9,1,-144.0
-0.9,112,-288.0
-0.8999999999999498,14,-208.79999999998836
-0.9000000000001322,5,-158.40000000002328
-0.8999999999996362,7,-28.79999999998836
-0.9,35,-342.0
-0.8999999999999649,4,-298.79999999998836
13.723684210526315,4935,2086.0
-0.9000000000001188,81,-176.40000000002328
14.392857142857142,7919,4836.0
-0.9000000000000317,9,-331.20000000001164
2.197080291970803,1329,1204.0
1.9072847682119205,270,1152.0
-0.8999999999998735,25,-165.59999999997672
-0.8999999999990299,1,-21.599999999976717
-0.8999999999999118,7,-237.59999999997672
-0.8999999999998123,27,-111.59999999997672
-0.9000000000000286,5,-367.20000000001164
-0.9,557,-396.0
-0.8999999999998735,8,-82.79999999998836
-0.8999999999999323,2,-154.79999999998836
-0.900000000000047,3,-223.20000000001164
-0.8999999999997228,1,-75.59999999997672
-0.9,1,-18.0
-0.9000000000004158,1,-25.20000000001164
-0.8999999999997761,67,-46.79999999998836
-0.9,65,-594.0
-0.9000000000000786,1,-133.20000000001164
1.3983050847457628,14,660.0
