time,liquidity_type,liquidity_strength,sweep_direction,sweep_size,bos_strength,fvg_rejected,retracement_depth,time_since_sweep,ny_session,london_session,asian_session,suggested_tp,suggested_sl,max_favorable_excursion,max_adverse_excursion,time_to_target,label
1751033640000,2,0.985,-1,0.00031775250367058926,0.0,1.0,0.011235955,2,1,1,0,22725.5,22823.75,4.443181818181818,0.8295454545454546,212,1
1751047140000,2,1.4783334,1,0.0005833278302405953,1.0,0.0,0.5078864,3,1,0,0,22823.75,22697.0,0.16025641025641027,1.1282051282051282,19,0
1751049120000,2,1.42125,1,0.00026483927566458106,0.0,1.0,0.6394052,1,1,0,0,22823.75,22648.75,0.21649484536082475,1.443298969072165,6,0
1751049840000,2,1.4170834,1,0.00019897417757339935,0.0,1.0,0.34269664,1,1,0,0,22823.75,22611.0,0.7008547008547008,1.3076923076923077,8,0
1751050320000,2,1.4141667,1,2.2121446742616967e-05,0.0,1.0,0.9826087,0,1,0,0,22823.75,22602.0,41.5,5.0,1,0
1751050440000,2,1.41375,1,5.5279770920629306e-05,0.0,1.0,0.8888889,0,1,0,0,22823.75,22611.0,2.8,9.2,1,0
1751051100000,2,1.4135417,1,2.2122180804583717e-05,0.0,1.0,0.25287357,9,1,0,0,22823.75,22600.0,5.946153846153846,0.0,169,1
1751239380000,3,0.36375,-1,0.00019702276707530647,1.0,0.0,0.5736434,9,0,0,1,22727.5,22847.0,2.1454545454545455,1.1272727272727272,171,0
1751250360000,3,0.32208332,-1,0.0001751006828926633,1.0,0.0,0.021276595,12,0,0,1,22803.75,22848.75,0.41304347826086957,1.3043478260869565,11,0
1751252400000,3,0.31708333,-1,0.00018591832717251033,0.0,1.0,0.54285717,8,0,0,1,22803.75,22873.5,0.3541666666666667,1.1041666666666667,37,0
1751255880000,3,0.30479166,-1,7.648601398601399e-05,1.0,0.0,0.20930232,6,0,0,1,22803.75,22881.75,0.14705882352941177,1.0294117647058822,12,0
1751276640000,3,0.9814583,-1,0.0001418424239779162,1.0,0.0,0.21428572,6,0,1,0,22803.75,22916.0,7.345454545454546,0.4909090909090909,240,1
